#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2380805120	    2.820000000	    2.820000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia4
      1907463380	    2.724000000	    2.724000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia8
      1667608728	    3.876000000	    3.876000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia16
      1545224188	    5.976000000	    5.976000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia32
      1483736344	    9.850000000	    9.850000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia64
      1429804092	   38.384000000	   38.384000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia512
