#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2266460051	    0.772000000	    0.694244604	            556	            500	     2790508860	#sVo0	#   1000	#indexes/dbpedia4
      2062430227	    0.756000000	    0.679856115	            556	            500	     2790508860	#sVo0	#   1000	#indexes/dbpedia8
      1901374315	    0.748000000	    0.672661871	            556	            500	     2790508860	#sVo0	#   1000	#indexes/dbpedia32
      1874008947	    0.764000000	    0.687050360	            556	            500	     2790508860	#sVo0	#   1000	#indexes/dbpedia64
      1849741147	    0.790000000	    0.710431655	            556	            500	     2790508860	#sVo0	#   1000	#indexes/dbpedia512
