#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2380805120	    2.308000000	    0.824285714	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia4
      1907463380	    2.476000000	    0.884285714	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia8
      1667608728	    2.784000000	    0.994285714	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia16
      1545224188	    3.312000000	    1.182857143	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia32
      1483736344	    4.224000000	    1.508571429	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia64
      1429804092	   16.624000000	    5.937142857	           1400	            500	     2790508860	#VVo0	#   1000	#indexes/dbpedia512
