#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2380805120	    0.920000000	    0.690690691	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia4
      1907463380	    0.974000000	    0.731231231	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia8
      1667608728	    1.092000000	    0.819819820	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia16
      1545224188	    1.350000000	    1.013513514	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia32
      1483736344	    1.878000000	    1.409909910	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia64
      1429804092	    8.062000000	    6.052552553	            666	            500	     2790508860	#spV2	#   1000	#indexes/dbpedia512
