#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2266460051	    0.446000000	    0.446000000	            500	            500	     2790508860	# spo	#   1000	#indexes/dbpedia4
      2062430227	    0.454000000	    0.454000000	            500	            500	     2790508860	# spo	#   1000	#indexes/dbpedia8
      1901374315	    0.566000000	    0.566000000	            500	            500	     2790508860	# spo	#   1000	#indexes/dbpedia32
      1874008947	    0.560000000	    0.560000000	            500	            500	     2790508860	# spo	#   1000	#indexes/dbpedia64
      1849741147	    1.048000000	    1.048000000	            500	            500	     2790508860	# spo	#   1000	#indexes/dbpedia512
