#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2266460051	    0.876000000	    0.876000000	            500	            500	     2790508860	#spo0	#   1000	#indexes/dbpedia4
      2062430227	    1.014000000	    1.014000000	            500	            500	     2790508860	#spo0	#   1000	#indexes/dbpedia8
      1901374315	    1.178000000	    1.178000000	            500	            500	     2790508860	#spo0	#   1000	#indexes/dbpedia32
      1874008947	    1.396000000	    1.396000000	            500	            500	     2790508860	#spo0	#   1000	#indexes/dbpedia64
      1849741147	    4.736000000	    4.736000000	            500	            500	     2790508860	#spo0	#   1000	#indexes/dbpedia512
