#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2266460051	    2.296000000	    2.296000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia4
      2062430227	    2.164000000	    2.164000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia8
      1901374315	    5.470000000	    5.470000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia32
      1874008947	    9.526000000	    9.526000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia64
      1849741147	   36.692000000	   36.692000000	            500	            500	     2790508860	#spo2	#   1000	#indexes/dbpedia512
