#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2222858367	24836409.000000000	    0.106803784	      232542406	              1	     2790508860	# VVV	#      1	#indexes/dbpedia4
      2026095491	24886416.000000000	    0.107018829	      232542406	              1	     2790508860	# VVV	#      1	#indexes/dbpedia8
      1870489795	24310156.000000000	    0.104540743	      232542406	              1	     2790508860	# VVV	#      1	#indexes/dbpedia32
      1844032795	24554668.000000000	    0.105592216	      232542406	              1	     2790508860	# VVV	#      1	#indexes/dbpedia64
      1820559815	25099588.000000000	    0.107935531	      232542406	              1	     2790508860	# VVV	#      1	#indexes/dbpedia512
