#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2402605924	 1883.477822581	   85.299945215	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia4
      1918363760	 1711.741935484	   77.522279036	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia8
      1673058892	 1595.709677419	   72.267348430	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia16
      1547949244	 1509.883064516	   68.380387144	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia32
      1485098848	 1445.675403226	   65.472516435	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia64
      1429974368	 1426.372983871	   64.598338203	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia512
