#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2402605924	    1.098000000	    0.392142857	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia4
      1918363760	    1.246000000	    0.445000000	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia8
      1673058892	    1.506000000	    0.537857143	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia16
      1547949244	    2.048000000	    0.731428571	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia32
      1485098848	    2.952000000	    1.054285714	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia64
      1429974368	   15.880000000	    5.671428571	           1400	            500	     2790508860	# VVo	#   1000	#indexes/dbpedia512
