#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2402605924	  417.953629032	    0.162213912	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia4
      1918363760	  492.500000000	    0.191146448	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia8
      1673058892	  623.262096774	    0.241897129	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia16
      1547949244	  851.881048387	    0.330627486	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia32
      1485098848	 1312.925403226	    0.509565539	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia64
      1429974368	 8221.370967742	    3.190834235	        1277973	            496	     2790508860	# VpV	#    100	#indexes/dbpedia512
