#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      1795023579	    3.140000000	    3.140000000	            500	            500	#spo1	#   1000	#indexes/dbpedia16
      1661802863	    4.418000000	    4.418000000	            500	            500	#spo1	#   1000	#indexes/dbpedia32
      1594911307	    6.960000000	    6.960000000	            500	            500	#spo1	#   1000	#indexes/dbpedia64
      1544563055	   22.462000000	   22.462000000	            500	            500	#spo1	#   1000	#indexes/dbpedia256
      1545893859	   22.454000000	   22.454000000	            500	            500	#spo1	#   1000	#indexes/dbpedia256b
