#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	     sourcesize	#oper	#repeats	#indexBaseName
      2565634651	 2051.907258065	   92.927867056	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia4
      2060332095	 1872.459677419	   84.800949598	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia8
      1795182303	 1751.610887097	   79.327885318	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia16
      1661961587	 1630.943548387	   73.863038714	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia32
      1595070031	 1566.574596774	   70.947863404	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia64
      1536371359	 1529.957661290	   69.289536158	          10952	            496	     2790508860	#Vpo2	#     10	#indexes/dbpedia512
