#  IdxSize(byte)	       usec/pat	       usec/occ	           occs	        numpats	#oper	#repeats	#indexBaseName
      3573730289	    1.888000000	    1.888000000	            500	            500	#spo2	#   1000	#indexes/dbpedia2
      2643439182	    1.666000000	    1.666000000	            500	            500	#spo2	#   1000	#indexes/dbpedia4
      2156860034	    1.602000000	    1.602000000	            500	            500	#spo2	#   1000	#indexes/dbpedia8
      1914418314	    1.574000000	    1.574000000	            500	            500	#spo2	#   1000	#indexes/dbpedia16
      1795198251	    1.566000000	    1.566000000	            500	            500	#spo2	#   1000	#indexes/dbpedia32
      1741633163	    1.690000000	    1.690000000	            500	            500	#spo2	#   1000	#indexes/dbpedia64
      1815179736	    4.122000000	    4.122000000	            500	            500	#spo2	#   1000	#indexes/dbpedia512
